Date,City,Customer_type,Gender,Product line,Prix unitaire,Quantité,Total,Coût,Gain,Rating
01/01/2018,Yangon,Member,Female,Health and beauty,74.69,7,548.9715,522.83,26.1415,9.1
01/01/2018,Mandalay,Member,Female,Home and lifestyle,94.49,8,793.716,755.92,37.796,7.5
01/01/2018,Naypyitaw,Normal,Male,Electronic accessories,58.76,10,616.98,587.6,29.38,9
02/01/2018,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,80.22,76.4,3.82,9.6
02/01/2018,Mandalay,Member,Male,Home and lifestyle,46.47,4,195.174,185.88,9.294,7
02/01/2018,Mandalay,Member,Male,Electronic accessories,91.56,8,769.104,732.48,36.624,6
03/01/2018,Yangon,Normal,Female,Home and lifestyle,46.33,7,340.5255,324.31,16.2155,7.4
03/01/2018,Yangon,Normal,Male,Home and lifestyle,74.07,1,77.7735,74.07,3.7035,9.9
03/01/2018,Yangon,Normal,Male,Home and lifestyle,93.96,9,887.922,845.64,42.282,9.8
04/01/2018,Yangon,Member,Female,Health and beauty,58.22,8,489.048,465.76,23.288,8.4
04/01/2018,Naypyitaw,Normal,Female,Home and lifestyle,69.81,4,293.202,279.24,13.962,5.9
04/01/2018,Naypyitaw,Normal,Male,Home and lifestyle,55.61,7,408.7335,389.27,19.4635,8.5
05/01/2018,Yangon,Normal,Female,Sports and travel,86.31,7,634.3785,604.17,30.2085,5.3
05/01/2018,Mandalay,Normal,Female,Home and lifestyle,77.04,3,242.676,231.12,11.556,7.2
05/01/2018,Naypyitaw,Normal,Male,Food and beverages,84.83,1,89.0715,84.83,4.2415,8.8
06/01/2018,Naypyitaw,Normal,Female,Electronic accessories,85.39,7,627.6165,597.73,29.8865,4.1
06/01/2018,Mandalay,Normal,Female,Fashion accessories,73.52,2,154.392,147.04,7.352,4.6
06/01/2018,Yangon,Member,Female,Sports and travel,71.63,2,150.423,143.26,7.163,8.8
07/01/2018,Yangon,Member,Female,Electronic accessories,68.84,6,433.692,413.04,20.652,5.8
07/01/2018,Naypyitaw,Normal,Female,Food and beverages,87.8,9,829.71,790.2,39.51,9.2
07/01/2018,Yangon,Member,Male,Home and lifestyle,37.69,2,79.149,75.38,3.769,9.5
08/01/2018,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,772.38,735.6,36.78,8
08/01/2018,Mandalay,Normal,Male,Home and lifestyle,25.55,4,107.31,102.2,5.11,5.7
08/01/2018,Naypyitaw,Member,Female,Sports and travel,31.67,8,266.028,253.36,12.668,5.6
09/01/2018,Yangon,Member,Female,Health and beauty,36.26,2,76.146,72.52,3.626,7.2
09/01/2018,Yangon,Normal,Male,Electronic accessories,32.71,5,171.7275,163.55,8.1775,9.9
09/01/2018,Naypyitaw,Member,Female,Food and beverages,38.42,1,40.341,38.42,1.921,8.6
10/01/2018,Mandalay,Member,Female,Food and beverages,54.84,3,172.746,164.52,8.226,5.9
10/01/2018,Naypyitaw,Member,Female,Fashion accessories,74.29,1,78.0045,74.29,3.7145,5
10/01/2018,Mandalay,Member,Male,Fashion accessories,65.23,10,684.915,652.3,32.615,5.2
11/01/2018,Mandalay,Member,Female,Fashion accessories,14.48,4,60.816,57.92,2.896,4.5
11/01/2018,Naypyitaw,Member,Male,Health and beauty,43.7,2,91.77,87.4,4.37,4.9
11/01/2018,Naypyitaw,Member,Female,Home and lifestyle,10.53,5,55.2825,52.65,2.6325,5.8
12/01/2018,Mandalay,Member,Male,Electronic accessories,25.51,4,107.142,102.04,5.102,6.8
12/01/2018,Yangon,Normal,Female,Home and lifestyle,25.29,1,26.5545,25.29,1.2645,6.1
12/01/2018,Mandalay,Member,Female,Home and lifestyle,12.29,9,116.1405,110.61,5.5305,8
13/01/2018,Yangon,Normal,Female,Electronic accessories,46.95,5,246.4875,234.75,11.7375,7.1
13/01/2018,Naypyitaw,Normal,Male,Health and beauty,41.5,4,174.3,166,8.3,8.2
13/01/2018,Naypyitaw,Member,Male,Health and beauty,81.23,7,597.0405,568.61,28.4305,9
14/01/2018,Yangon,Normal,Female,Food and beverages,43.19,10,453.495,431.9,21.595,8.2
14/01/2018,Naypyitaw,Member,Female,Food and beverages,71.39,5,374.7975,356.95,17.8475,5.5
14/01/2018,Mandalay,Member,Female,Fashion accessories,22.32,4,93.744,89.28,4.464,4.1
15/01/2018,Yangon,Normal,Female,Health and beauty,71.38,10,749.49,713.8,35.69,5.7
15/01/2018,Naypyitaw,Member,Female,Sports and travel,19.15,6,120.645,114.9,5.745,6.8
15/01/2018,Yangon,Normal,Female,Food and beverages,27.28,5,143.22,136.4,6.82,8.6
16/01/2018,Mandalay,Member,Female,Sports and travel,93.72,6,590.436,562.32,28.116,4.5
16/01/2018,Mandalay,Member,Female,Electronic accessories,57.49,4,241.458,229.96,11.498,6.6
16/01/2018,Yangon,Member,Female,Electronic accessories,17.42,10,182.91,174.2,8.71,7
17/01/2018,Yangon,Member,Female,Health and beauty,68.93,7,506.6355,482.51,24.1255,4.6
17/01/2018,Naypyitaw,Normal,Male,Electronic accessories,61.41,7,451.3635,429.87,21.4935,9.8
17/01/2018,Mandalay,Normal,Male,Home and lifestyle,73.28,5,384.72,366.4,18.32,8.4
18/01/2018,Yangon,Normal,Male,Sports and travel,72.61,6,457.443,435.66,21.783,6.9
18/01/2018,Mandalay,Member,Male,Health and beauty,25.9,10,271.95,259,12.95,8.7
18/01/2018,Naypyitaw,Member,Female,Fashion accessories,84.87,3,267.3405,254.61,12.7305,7.4
19/01/2018,Yangon,Normal,Female,Food and beverages,54.67,3,172.2105,164.01,8.2005,8.6
19/01/2018,Mandalay,Member,Male,Home and lifestyle,17.77,5,93.2925,88.85,4.4425,5.4
19/01/2018,Yangon,Normal,Female,Fashion accessories,97.29,8,817.236,778.32,38.916,6.2
20/01/2018,Mandalay,Normal,Female,Home and lifestyle,40.3,2,84.63,80.6,4.03,4.4
20/01/2018,Yangon,Normal,Female,Health and beauty,23.03,9,217.6335,207.27,10.3635,7.9
20/01/2018,Mandalay,Member,Female,Electronic accessories,35.74,8,300.216,285.92,14.296,4.9
21/01/2018,Naypyitaw,Member,Female,Electronic accessories,86.04,5,451.71,430.2,21.51,4.8
21/01/2018,Naypyitaw,Member,Female,Electronic accessories,66.65,9,629.8425,599.85,29.9925,9.7
21/01/2018,Yangon,Normal,Female,Home and lifestyle,96.52,6,608.076,579.12,28.956,4.5
22/01/2018,Mandalay,Normal,Female,Health and beauty,87.98,3,277.137,263.94,13.197,5.1
22/01/2018,Naypyitaw,Member,Female,Home and lifestyle,28.53,10,299.565,285.3,14.265,7.8
22/01/2018,Yangon,Member,Male,Food and beverages,18.85,10,197.925,188.5,9.425,5.6
23/01/2018,Mandalay,Normal,Female,Home and lifestyle,33.2,2,69.72,66.4,3.32,4.4
23/01/2018,Mandalay,Normal,Female,Fashion accessories,30.37,3,95.6655,91.11,4.5555,5.1
23/01/2018,Yangon,Normal,Female,Food and beverages,55.39,4,232.638,221.56,11.078,8
24/01/2018,Yangon,Normal,Male,Electronic accessories,34.56,5,181.44,172.8,8.64,9.9
24/01/2018,Mandalay,Normal,Female,Electronic accessories,99.73,9,942.4485,897.57,44.8785,6.5
24/01/2018,Mandalay,Member,Female,Food and beverages,77.2,10,810.6,772,38.6,5.6
25/01/2018,Yangon,Member,Female,Sports and travel,88.63,3,279.1845,265.89,13.2945,6
25/01/2018,Yangon,Normal,Male,Electronic accessories,26.23,9,247.8735,236.07,11.8035,5.9
25/01/2018,Mandalay,Normal,Male,Electronic accessories,72.13,10,757.365,721.3,36.065,4.2
26/01/2018,Yangon,Member,Female,Home and lifestyle,52.59,8,441.756,420.72,21.036,8.5
26/01/2018,Naypyitaw,Normal,Female,Food and beverages,93.26,9,881.307,839.34,41.967,8.8
26/01/2018,Yangon,Member,Female,Fashion accessories,63.88,8,536.592,511.04,25.552,9.9
27/01/2018,Mandalay,Normal,Male,Fashion accessories,33.52,1,35.196,33.52,1.676,6.7
27/01/2018,Mandalay,Normal,Male,Home and lifestyle,92.36,5,484.89,461.8,23.09,4.9
27/01/2018,Yangon,Member,Female,Health and beauty,10.69,5,56.1225,53.45,2.6725,7.6
28/01/2018,Yangon,Normal,Female,Fashion accessories,87.67,2,184.107,175.34,8.767,7.7
28/01/2018,Mandalay,Normal,Male,Sports and travel,46.42,3,146.223,139.26,6.963,4.4
28/01/2018,Yangon,Member,Male,Health and beauty,55.5,4,233.1,222,11.1,6.6
29/01/2018,Mandalay,Normal,Female,Food and beverages,88.36,5,463.89,441.8,22.09,9.6
29/01/2018,Mandalay,Member,Female,Sports and travel,29.61,7,217.6335,207.27,10.3635,6.5
29/01/2018,Mandalay,Normal,Female,Home and lifestyle,95.46,8,801.864,763.68,38.184,4.7
30/01/2018,Yangon,Normal,Female,Health and beauty,24.89,9,235.2105,224.01,11.2005,7.4
30/01/2018,Yangon,Normal,Male,Home and lifestyle,18.28,1,19.194,18.28,0.914,8.3
30/01/2018,Naypyitaw,Normal,Female,Fashion accessories,76.06,3,239.589,228.18,11.409,9.8
31/01/2018,Mandalay,Normal,Female,Fashion accessories,94.13,5,494.1825,470.65,23.5325,4.8
31/01/2018,Mandalay,Normal,Female,Sports and travel,24.77,5,130.0425,123.85,6.1925,8.5
31/01/2018,Mandalay,Normal,Male,Sports and travel,13.69,6,86.247,82.14,4.107,6.3
01/02/2018,Mandalay,Member,Female,Sports and travel,78.07,9,737.7615,702.63,35.1315,4.5
01/02/2018,Yangon,Member,Female,Electronic accessories,94.64,3,298.116,283.92,14.196,5.5
01/02/2018,Mandalay,Normal,Female,Electronic accessories,95.64,4,401.688,382.56,19.128,7.9
02/02/2018,Mandalay,Normal,Female,Sports and travel,83.78,8,703.752,670.24,33.512,5.1
02/02/2018,Mandalay,Normal,Male,Fashion accessories,94.87,8,796.908,758.96,37.948,8.7
02/02/2018,Yangon,Normal,Female,Home and lifestyle,11.43,6,72.009,68.58,3.429,7.7
03/02/2018,Yangon,Normal,Female,Health and beauty,96.58,2,202.818,193.16,9.658,5.1
03/02/2018,Mandalay,Normal,Female,Food and beverages,57.34,3,180.621,172.02,8.601,7.9
03/02/2018,Mandalay,Member,Female,Sports and travel,95.54,4,401.268,382.16,19.108,4.5
04/02/2018,Naypyitaw,Member,Female,Food and beverages,99.42,4,417.564,397.68,19.884,7.5
04/02/2018,Mandalay,Normal,Male,Electronic accessories,45.35,6,285.705,272.1,13.605,6.1
04/02/2018,Naypyitaw,Member,Female,Health and beauty,85.87,7,631.1445,601.09,30.0545,8
05/02/2018,Naypyitaw,Member,Female,Sports and travel,68.12,1,71.526,68.12,3.406,6.8
05/02/2018,Mandalay,Normal,Male,Food and beverages,62.08,7,456.288,434.56,21.728,5.4
05/02/2018,Naypyitaw,Member,Female,Sports and travel,67.99,7,499.7265,475.93,23.7965,5.7
06/02/2018,Yangon,Member,Male,Sports and travel,62.62,5,328.755,313.1,15.655,7
06/02/2018,Naypyitaw,Normal,Male,Electronic accessories,11.81,5,62.0025,59.05,2.9525,9.4
06/02/2018,Naypyitaw,Normal,Female,Food and beverages,52.42,1,55.041,52.42,2.621,6.3
07/02/2018,Yangon,Normal,Female,Electronic accessories,60.88,9,575.316,547.92,27.396,4.7
07/02/2018,Naypyitaw,Member,Female,Fashion accessories,12.54,1,13.167,12.54,0.627,8.2
07/02/2018,Naypyitaw,Member,Male,Food and beverages,65.65,2,137.865,131.3,6.565,6
08/02/2018,Naypyitaw,Normal,Female,Health and beauty,54.92,8,461.328,439.36,21.968,7.6
08/02/2018,Yangon,Normal,Male,Food and beverages,43.25,2,90.825,86.5,4.325,6.2
08/02/2018,Mandalay,Normal,Female,Food and beverages,28.86,5,151.515,144.3,7.215,8
09/02/2018,Mandalay,Member,Male,Home and lifestyle,30.12,8,253.008,240.96,12.048,7.7
09/02/2018,Naypyitaw,Member,Female,Sports and travel,87.16,2,183.036,174.32,8.716,9.7
09/02/2018,Naypyitaw,Member,Male,Health and beauty,65.31,7,480.0285,457.17,22.8585,4.2
10/02/2018,Mandalay,Member,Female,Home and lifestyle,86.72,1,91.056,86.72,4.336,7.9
10/02/2018,Mandalay,Member,Male,Health and beauty,69.37,9,655.5465,624.33,31.2165,4
10/02/2018,Mandalay,Normal,Male,Sports and travel,93.38,1,98.049,93.38,4.669,9.6
11/02/2018,Naypyitaw,Member,Male,Home and lifestyle,56.11,2,117.831,112.22,5.611,6.3
11/02/2018,Naypyitaw,Member,Male,Electronic accessories,37.06,4,155.652,148.24,7.412,9.7
11/02/2018,Naypyitaw,Member,Male,Sports and travel,25.25,5,132.5625,126.25,6.3125,6.1
12/02/2018,Mandalay,Member,Female,Sports and travel,69.12,6,435.456,414.72,20.736,5.6
12/02/2018,Mandalay,Member,Female,Electronic accessories,90.7,6,571.41,544.2,27.21,5.3
12/02/2018,Mandalay,Member,Male,Electronic accessories,87.87,9,830.3715,790.83,39.5415,5.6
13/02/2018,Naypyitaw,Member,Female,Food and beverages,98.7,8,829.08,789.6,39.48,7.6
13/02/2018,Yangon,Normal,Female,Home and lifestyle,63.42,8,532.728,507.36,25.368,7.4
13/02/2018,Naypyitaw,Normal,Male,Health and beauty,21.8,8,183.12,174.4,8.72,8.3
14/02/2018,Naypyitaw,Member,Male,Health and beauty,15.37,2,32.277,30.74,1.537,7.2
14/02/2018,Mandalay,Normal,Female,Fashion accessories,81.37,2,170.877,162.74,8.137,6.5
14/02/2018,Yangon,Normal,Female,Sports and travel,94.76,4,397.992,379.04,18.952,7.8
15/02/2018,Mandalay,Member,Female,Electronic accessories,93.96,4,394.632,375.84,18.792,9.5
15/02/2018,Mandalay,Member,Female,Electronic accessories,10.59,3,33.3585,31.77,1.5885,8.7
15/02/2018,Yangon,Member,Female,Fashion accessories,30.62,1,32.151,30.62,1.531,4.1
16/02/2018,Mandalay,Member,Male,Health and beauty,56.69,9,535.7205,510.21,25.5105,8.4
16/02/2018,Mandalay,Normal,Female,Health and beauty,84.09,9,794.6505,756.81,37.8405,8
16/02/2018,Naypyitaw,Normal,Female,Home and lifestyle,44.01,8,369.684,352.08,17.604,8.8
17/02/2018,Mandalay,Member,Female,Food and beverages,20.01,9,189.0945,180.09,9.0045,4.1
17/02/2018,Mandalay,Member,Male,Fashion accessories,73.82,4,310.044,295.28,14.764,6.7
17/02/2018,Naypyitaw,Member,Female,Health and beauty,10.16,5,53.34,50.8,2.54,4.1
18/02/2018,Mandalay,Member,Male,Electronic accessories,18.93,6,119.259,113.58,5.679,8.1
18/02/2018,Yangon,Member,Male,Health and beauty,51.94,10,545.37,519.4,25.97,6.5
