Date,Gain
1/1/2018,26.1415
1/1/2018,37.796
1/1/2018,29.38
2/1/2018,3.82
2/1/2018,9.294
2/1/2018,36.624
3/1/2018,16.2155
3/1/2018,3.7035
3/1/2018,42.282
4/1/2018,23.288
4/1/2018,13.962
4/1/2018,19.4635
5/1/2018,30.2085
5/1/2018,11.556
5/1/2018,4.2415
6/1/2018,29.8865
6/1/2018,7.352
6/1/2018,7.163
7/1/2018,20.652
7/1/2018,39.51
7/1/2018,3.769
8/1/2018,36.78
8/1/2018,5.11
8/1/2018,12.668
9/1/2018,3.626
9/1/2018,8.1775
9/1/2018,1.921
10/1/2018,8.226
10/1/2018,3.7145
10/1/2018,32.615
11/1/2018,2.896
11/1/2018,4.37
11/1/2018,2.6325
12/1/2018,5.102
12/1/2018,1.2645
12/1/2018,5.5305
13/01/2018,11.7375
13/01/2018,8.3
13/01/2018,28.4305
14/01/2018,21.595
14/01/2018,17.8475
14/01/2018,4.464
15/01/2018,35.69
15/01/2018,5.745
15/01/2018,6.82
16/01/2018,28.116
16/01/2018,11.498
16/01/2018,8.71
17/01/2018,24.1255
17/01/2018,21.4935
17/01/2018,18.32
18/01/2018,21.783
18/01/2018,12.95
18/01/2018,12.7305
19/01/2018,8.2005
19/01/2018,4.4425
19/01/2018,38.916
20/01/2018,4.03
20/01/2018,10.3635
20/01/2018,14.296
21/01/2018,21.51
21/01/2018,29.9925
21/01/2018,28.956
22/01/2018,13.197
22/01/2018,14.265
22/01/2018,9.425
23/01/2018,3.32
23/01/2018,4.5555
23/01/2018,11.078
24/01/2018,8.64
24/01/2018,44.8785
24/01/2018,38.6
25/01/2018,13.2945
25/01/2018,11.8035
25/01/2018,36.065
26/01/2018,21.036
26/01/2018,41.967
26/01/2018,25.552
27/01/2018,1.676
27/01/2018,23.09
27/01/2018,2.6725
28/01/2018,8.767
28/01/2018,6.963
28/01/2018,11.1
29/01/2018,22.09
29/01/2018,10.3635
29/01/2018,38.184
30/01/2018,11.2005
30/01/2018,0.914
30/01/2018,11.409
31/01/2018,23.5325
31/01/2018,6.1925
31/01/2018,4.107
1/2/2018,35.1315
1/2/2018,14.196
1/2/2018,19.128
2/2/2018,33.512
2/2/2018,37.948
2/2/2018,3.429
3/2/2018,9.658
3/2/2018,8.601
3/2/2018,19.108
4/2/2018,19.884
4/2/2018,13.605
4/2/2018,30.0545
5/2/2018,3.406
5/2/2018,21.728
5/2/2018,23.7965
6/2/2018,15.655
6/2/2018,2.9525
6/2/2018,2.621
7/2/2018,27.396
7/2/2018,0.627
7/2/2018,6.565
8/2/2018,21.968
8/2/2018,4.325
8/2/2018,7.215
9/2/2018,12.048
9/2/2018,8.716
9/2/2018,22.8585
10/2/2018,4.336
10/2/2018,31.2165
10/2/2018,4.669
11/2/2018,5.611
11/2/2018,7.412
11/2/2018,6.3125
12/2/2018,20.736
12/2/2018,27.21
12/2/2018,39.5415
13/02/2018,39.48
13/02/2018,25.368
13/02/2018,8.72
14/02/2018,1.537
14/02/2018,8.137
14/02/2018,18.952
15/02/2018,18.792
15/02/2018,1.5885
15/02/2018,1.531
16/02/2018,25.5105
16/02/2018,37.8405
16/02/2018,17.604
17/02/2018,9.0045
17/02/2018,14.764
17/02/2018,2.54
18/02/2018,5.679
18/02/2018,25.97
18/02/2018,26.103
19/02/2018,41.315
19/02/2018,9.314
19/02/2018,28.756
20/02/2018,31.99
20/02/2018,4.3525
20/02/2018,2.7475
21/02/2018,11.1475
21/02/2018,11.055
21/02/2018,9.0705
22/02/2018,3.574
22/02/2018,3.305
22/02/2018,20.6185
23/02/2018,0.7715
23/02/2018,4.4845
23/02/2018,2.3205
24/02/2018,1.616
24/02/2018,11.223
24/02/2018,13.71
25/02/2018,34.392
25/02/2018,5.977
25/02/2018,48.685
26/02/2018,4.434
26/02/2018,9.32
26/02/2018,32.41
27/02/2018,35.84
27/02/2018,12.53
27/02/2018,4.661
28/02/2018,36.175
28/02/2018,37.548
28/02/2018,2.718
